Timestamp;Value
2014-07-31;9339
2014-08-01;9347
2014-08-02;9360
2014-08-03;9371
2014-08-04;9381
2014-08-05;9387
2014-08-06;9393
2014-08-07;9400
2014-08-08;9401
2014-08-09;9401
2014-08-10;9403
2014-08-11;9403
2014-08-12;9405
2014-08-13;9405
2014-08-14;9404
2014-08-15;9404
2014-08-16;9403
2014-08-17;9403
2014-08-18;9402
2014-08-19;9401
2014-08-20;9400
2014-08-21;9398
2014-08-22;9398
2014-08-23;9397
2014-08-24;9392
2014-08-25;9391
2014-08-26;9392
2014-08-27;9391
2014-08-28;9391
2014-08-29;9391
2014-08-30;9390
2014-08-31;9390
2014-09-01;9394
2014-09-02;9394
2014-09-03;9393
2014-09-04;9395
2014-09-05;9395
2014-09-06;9394
2014-09-07;9392
2014-09-08;9389
2014-09-09;9389
2014-09-10;9396
2014-09-11;9396
2014-09-12;9400
2014-09-13;9405
2014-09-14;9399
2014-09-15;9403
2014-09-16;9407
2014-09-17;9410
2014-09-18;9412
2014-09-19;9420
2014-09-20;9421
2014-09-21;9423
2014-09-22;9424
2014-09-23;9428
2014-09-24;9432
2014-09-25;9431
2014-09-26;9429
2014-09-27;9426
2014-09-28;9425
2014-09-29;9425
2014-09-30;9424
2014-10-01;9422
2014-10-02;9421
2014-10-03;9420
2014-10-04;9419
2014-10-05;9418
2014-10-06;9415
2014-10-07;9413
2014-10-08;9412
2014-10-09;9413
2014-10-10;9412
2014-10-11;9410
2014-10-12;9409
2014-10-13;9407
2014-10-14;9405
2014-10-15;9401
2014-10-16;9400
2014-10-17;9403
2014-10-18;9403
2014-10-19;9401
2014-10-20;9400
2014-10-21;9399
2014-10-22;9398
2014-10-23;9395
2014-10-24;9391
2014-10-25;9387
2014-10-26;9382
2014-10-27;9381
2014-10-28;9382
2014-10-29;9382
2014-10-30;9381
2014-10-31;9378
2014-11-01;9375
2014-11-02;9373
2014-11-03;9371
2014-11-04;9369
2014-11-05;9368
2014-11-06;9366
2014-11-07;9364
2014-11-08;9363
2014-11-09;9361
2014-11-10;9359
2014-11-11;9358
2014-11-12;9358
2014-11-13;9355
2014-11-14;9354
2014-11-15;9350
2014-11-16;9347
2014-11-17;9345
2014-11-18;9343
2014-11-19;9342
2014-11-20;9339
2014-11-21;9337
2014-11-22;9335
2014-11-23;9332
2014-11-24;9329
2014-11-25;9326
2014-11-26;9322
2014-11-27;9322
2014-11-28;9320
2014-11-29;9318
2014-11-30;9317
2014-12-01;9315
2014-12-02;9313
2014-12-03;9310
2014-12-04;9308
2014-12-05;9306
2014-12-06;9304
2014-12-07;9301
2014-12-08;9298
2014-12-09;9295
2014-12-10;9292
2014-12-11;9290
2014-12-12;9287
2014-12-13;9286
2014-12-14;9282
