Date;Value
2010-06-29;424
2010-06-30;407
2010-07-01;404
2010-07-02;402
2010-07-03;405
2010-07-04;406
2010-07-05;409
2010-07-06;413
2010-07-07;449
2010-07-08;475
2010-07-09;484
2010-07-10;481
2010-07-11;470
2010-07-12;446
2010-07-13;428
2010-07-14;413
2010-07-15;404
2010-07-16;397
2010-07-17;398
2010-07-18;401
2010-07-19;407
2010-07-20;417
2010-07-21;456
2010-07-22;521
2010-07-23;570
2010-07-24;606
2010-07-25;632
2010-07-26;645
2010-07-27;644
2010-07-28;622
2010-07-29;565
2010-07-30;520
2010-07-31;505
2010-08-01;486
2010-08-02;494
2010-08-03;498
2010-08-04;492
2010-08-05;475
2010-08-06;460
2010-08-07;444
2010-08-08;434
2010-08-09;433
2010-08-10;437
2010-08-11;434
2010-08-12;429
2010-08-13;438
2010-08-14;456
2010-08-15;470
2010-08-16;501
2010-08-17;506
2010-08-18;487
2010-08-19;485
2010-08-20;476
2010-08-21;470
2010-08-22;474
2010-08-23;488
2010-08-24;530
2010-08-25;550
2010-08-26;551
2010-08-27;549
2010-08-28;543
2010-08-29;527
2010-08-30;487
2010-08-31;471
2010-09-01;454
2010-09-02;444
2010-09-03;439
2010-09-04;437
2010-09-05;440
2010-09-06;455
2010-09-07;455
2010-09-08;443
2010-09-09;430
2010-09-10;413
2010-09-11;397
2010-09-12;368
2010-09-13;345
2010-09-14;343
2010-09-15;334
2010-09-16;315
2010-09-17;313
2010-09-18;310
2010-09-19;309
2010-09-20;313
2010-09-21;313
2010-09-22;311
2010-09-23;314
2010-09-24;313
2010-09-25;313
2010-09-26;310
2010-09-27;309
2010-09-28;305
2010-09-29;303
2010-09-30;301
2010-10-01;290
2010-10-02;279
2010-10-03;271
2010-10-04;260
2010-10-05;254
2010-10-06;256
2010-10-07;264
2010-10-08;265
2010-10-09;265
2010-10-10;261
2010-10-11;256
2010-10-12;252
2010-10-13;255
2010-10-14;268
2010-10-15;279
2010-10-16;289
2010-10-17;300
2010-10-18;292
2010-10-19;290
2010-10-20;287
2010-10-21;284
2010-10-22;276
2010-10-23;270
2010-10-24;265
2010-10-25;266
2010-10-26;270
2010-10-27;265
2010-10-28;251
2010-10-29;242
2010-10-30;229
2010-10-31;237
2010-11-01;244
2010-11-02;246
2010-11-03;255
2010-11-04;255
2010-11-05;249
2010-11-06;247
2010-11-07;249
2010-11-08;251
2010-11-09;251
2010-11-10;250
2010-11-11;245
2010-11-12;239
2010-11-13;234
2010-11-14;230
2010-11-15;233
2010-11-16;243
2010-11-17;250
2010-11-18;250
2010-11-19;245
2010-11-20;240
2010-11-21;246
2010-11-22;260
2010-11-23;254
2010-11-24;230
2010-11-25;208
2010-11-26;215
2010-11-27;214
2010-11-28;210
2010-11-29;208
2010-11-30;200
2010-12-01;200
2010-12-02;203
2010-12-03;241
2010-12-04;278
2010-12-05;271
2010-12-06;267
2010-12-07;267
2010-12-08;270
2010-12-09;247
2010-12-10;233
2010-12-11;262
2010-12-12;325
2010-12-13;345
2010-12-14;357
2010-12-15;357
2010-12-16;347
2010-12-17;347
2010-12-18;347
2010-12-19;344
2010-12-20;344
2010-12-21;344
2010-12-22;357
2010-12-23;359
2010-12-24;355
2010-12-25;350
2010-12-26;350
2010-12-27;350
2010-12-28;355
2010-12-29;355
2010-12-30;357
2010-12-31;357
2011-01-01;355
2011-01-02;353
2011-01-03;351
2011-01-04;349
2011-01-05;347
2011-01-06;345
2011-01-07;335
2011-01-08;328
2011-01-09;325
2011-01-10;323
2011-01-11;328
2011-01-12;334
2011-01-13;333
2011-01-14;330
2011-01-15;328
